id,Author name,Year,Page number,Quotation from PDF,Quotation from JSONL full text,Ground-truth character indexes,Notes
http://www.jstor.org/stable/2873139,Andres,1988,p. 856,"“""passing beyond a cloud""”",passing beyond a cloud,"[9232, 9254]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 856,"“""How very beautiful these gems are!"" said Dorothea, under a new current of feeling, as sudden as the gleam. ""It is strange how deeply colours seem to penetrate one, like scent. I suppose that is the reason why gems are used as spiritual emblems in the Revelation of St. John. They look like fragments of heaven. I think that emerald is more beautiful than any of them"".”","How very beautiful these gems are!"" said Dorothea, under a new current of feeling, as sudden as the gleam. ""It is strange how deeply colours seem to penetrate one, like scent. I suppose that is the reason why gems are used as spiritual emblems in the Revelation of St. John. They look like fragments of heaven. I think that emerald is more beautiful than any of them","[9290, 9656]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 857,"“tries ""to justify her delight in the colours by merging them in her mystic religious joy""”",to justify her delight in the colours by merging them in her mystic religious joy,"[10546, 10627]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 857,"“'specimen\[s\] from a mine, or the inscription on the door of a museum which might open”","specimen[s] from a mine, or the inscription on the door of a museum which might open","[12614, 12698]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“on the treasures of past ages""”",on the treasures of past ages,"[12719, 12748]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""Mine""”",Mine,"[12896, 12900]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""horsemanship""”",horsemanship,"[13333, 13345]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""We must not inquire too curiously into motives.... Miss Brooke knows that they are apt to become feeble in utterance: the aroma is mixed with the grosser air. We must keep the germinating grain away from the light""”",We must not inquire too curiously into motives.... Miss Brooke knows that they are apt to become feeble in utterance: the aroma is mixed with the grosser air. We must keep the germinating grain away from the light,"[13431, 13644]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""the months and years which she must spend in sorting what might be called shattered mummies . . . sorting them as food for a theory which was already withered in the birth like an elfin child""”",the months and years which she must spend in sorting what might be called shattered mummies . . . sorting them as food for a theory which was already withered in the birth like an elfin child,"[13835, 14026]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“fancy, ""the apparatus of a ghastly labour”",the apparatus of a ghastly labour,"[14170, 14203]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""what would never see the light""”",what would never see the light,"[14217, 14247]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""is as changing as chemistry: new discoveries are constantly making new points of view""”",is as changing as chemistry: new discoveries are constantly making new points of view,"[14366, 14451]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""fixities,""”",fixities,"[14503, 14511]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""The first impression on seeing Will was one of sunny brightness.... When he turned his head quickly his hair seemed to shake out light, and some persons thought they saw decided genius in this coruscation""”","The first impression on seeing Will was one of sunny brightness.... When he turned his head quickly his hair seemed to shake out light, and some persons thought they saw decided genius in this coruscation","[14938, 15142]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""wintry""”",wintry,"[15185, 15191]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 858,"“""was a gush of inward light illuminating the transparent skin as well as the eyes""”",was a gush of inward light illuminating the transparent skin as well as the eyes,"[15201, 15281]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“""unpleasant girl,""”",unpleasant girl,"[15655, 15670]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“""like the voice of a soul that had once lived in an Aeolian harp""”",like the voice of a soul that had once lived in an Aeolian harp,"[15937, 16000]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“""a fuller image which is all the better for being vague. After all, the true seeing is within; and painting stares at you with an insistent imperfection""”","a fuller image which is all the better for being vague. After all, the true seeing is within; and painting stares at you with an insistent imperfection","[16563, 16714]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“""the very miscellaneousness of Rome""”",the very miscellaneousness of Rome,"[16867, 16901]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“, ""flexible with constant comparisons"";”",flexible with constant comparisons,"[16931, 16965]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“from seeing the world's ages as a set of box-like partitions without vital connection.""”",from seeing the world's ages as a set of box-like partitions without vital connection,"[16982, 17067]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“""had given him quite a new sense of history as a whole: the fragments stimulated his imagination and made him constructive”",had given him quite a new sense of history as a whole: the fragments stimulated his imagination and made him constructive,"[17146, 17267]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 859,"“""fragments of heaven.""”",fragments of heaven,"[17428, 17447]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""current of feeling""”",current of feeling,"[18147, 18165]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""the flood of her young passion""”",the flood of her young passion,"[18234, 18264]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""Polished, refined, docile,""”","Polished, refined, docile","[18723, 18748]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""feminine radiance .. . which must be classed with flowers and music""”",feminine radiance .. . which must be classed with flowers and music,"[18820, 18887]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""an exquisite ornament""”",an exquisite ornament,"[18985, 19006]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""blank unreflecting surface""”",blank unreflecting surface,"[19038, 19064]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""there must be a systole and diastole in all inquiry . ., a man's mind must be continually expanding and shrinking between the whole human horizon and the horizon of an object-glass”","there must be a systole and diastole in all inquiry . ., a man's mind must be continually expanding and shrinking between the whole human horizon and the horizon of an object-glass","[19438, 19618]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""his mind was as utterly narrowed into that precipitous crevice of play as if he had been the most ignorant lounger there”",his mind was as utterly narrowed into that precipitous crevice of play as if he had been the most ignorant lounger there,"[20185, 20305]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""little opening in the London crowd,”",little opening in the London crowd,"[20523, 20557]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 860,"“""shell""”",shell       ,"[20563, 20568]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“""the presence of a noble nature, generous in its wishes, ardent in its charity, changes the lights for us: we begin to see things again in their larger quieter masses, and to believe that we too can be seen and judged in the wholeness of our character”","the presence of a noble nature, generous in its wishes, ardent in its charity, changes the lights for us: we begin to see things again in their larger quieter masses, and to believe that we too can be seen and judged in the wholeness of our character","[21147, 21397]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“Ca fountain of friendship towards men""”",Ca fountain of friendship towards men,"[21447, 21484]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“""of often having. . , by her, to feed her eye at these little fountains of pure colour""”","of often having. . , by her, to feed her eye at these little fountains of pure colour","[21642, 21727]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“""in him,""”",in him,"[22025, 22031]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“""great soul""”",great soul,"[22063, 22073]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“""By this time,""”",By this time,"[22216, 22228]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“""had looked deep into the ungauged reservoir of Mr Casaubon's mind, seeing reflected there in vague labyrinthine extension every quality she herself had brought”","had looked deep into the ungauged reservoir of Mr Casaubon's mind, seeing reflected there in vague labyrinthine extension every quality she herself had brought","[22255, 22414]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“vague""P”",vague,"[22860, 22865]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 861,"“""she looked before her, not consciously seeing, but absorbing into the intensity of her mood, the solemn glory of the”","she looked before her, not consciously seeing, but absorbing into the intensity of her mood, the solemn glory of the","[23145, 23261]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“afternoon with its long swathes of light between the far-off rows of limes, whose shadows touched each other""”","afternoon with its long swathes of light between the far-off rows of limes, whose shadows touched each other","[23282, 23390]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""forgot the absence of windows, and became indifferent to the sunlight""”","forgot the absence of windows, and became indifferent to the sunlight","[23842, 23911]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""the large vistas and wide fresh air which she had dreamed of finding in her husband's mind were replaced by ante-rooms and winding passages which seemed to lead nowhither”",the large vistas and wide fresh air which she had dreamed of finding in her husband's mind were replaced by ante-rooms and winding passages which seemed to lead nowhither,"[24039, 24209]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""seemed nothing but a labyrinth of petty courses, a walled-in maze of small paths that led nowhither”","seemed nothing but a labyrinth of petty courses, a walled-in maze of small paths that led nowhither","[24260, 24359]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“"" 'Does this interest you, Dorothea? Shall we stay a little longer?'""”","Does this interest you, Dorothea? Shall we stay a little longer?","[24768, 24832]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""'But do you care about them?',""”",But do you care about them?,"[24878, 24905]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""going or staying were alike dreary.""”",going or staying were alike dreary,"[24936, 24970]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""years full of knowledge seem to have issued in a blank absence of interest or sympathy""”",years full of knowledge seem to have issued in a blank absence of interest or sympathy,"[25048, 25134]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""knowledge passing into feeling""”",knowledge passing into feeling,"[25333, 25363]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""'I would rather feel that painting is beautiful than have to read it as an enigma'”",I would rather feel that painting is beautiful than have to read it as an enigma,"[25452, 25532]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 862,"“""new real future""”",new real future,"[25813, 25828]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 863,“'gem-like brightness”,gem-like brightness,"[26155, 26174]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 863,"“""her blooming full-pulsed youth stood there in a moral imprisonment which made itself one with the chill, colourless, narrowed landscape, with the shrunken furniture""”","her blooming full-pulsed youth stood there in a moral imprisonment which made itself one with the chill, colourless, narrowed landscape, with the shrunken furniture","[26240, 26404]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 863,"“""Nay, the colours deepened, the lips and chin seemed to get larger, the hair and eyes seemed to be sending out light, the face was masculine and beamed on her.... the vivid presentation came like a pleasant glow to Dorothea: she felt herself smiling.... But the smile disappeared as she went on meditating""”","Nay, the colours deepened, the lips and chin seemed to get larger, the hair and eyes seemed to be sending out light, the face was masculine and beamed on her.... the vivid presentation came like a pleasant glow to Dorothea: she felt herself smiling.... But the smile disappeared as she went on meditating","[26687, 26991]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 863,"“""Like one who has lost his way and is weary, she sat and saw as in one glance all the paths of her young hope which she should never find again. And just as clearly in the miserable light she saw her own and her husband's solitude-how they walked apart so that she was obliged to survey him”","Like one who has lost his way and is weary, she sat and saw as in one glance all the paths of her young hope which she should never find again. And just as clearly in the miserable light she saw her own and her husband's solitude-how they walked apart so that she was obliged to survey him","[28000, 28289]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""She put her hand into her husband's, and they went along the broad corridor together""”","She put her hand into her husband's, and they went along the broad corridor together","[29354, 29438]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""inward vision,""”",inward vision,"[29606, 29619]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""certainty which filled up all outlines”",certainty which filled up all outlines,"[29720, 29758]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""the spirit of morning visiting the dim vault”",the spirit of morning visiting the dim vault,"[29929, 29973]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""parting vision""”",parting vision,"[30084, 30098]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""representing to herself'”",representing to herself,"[30316, 30339]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""piercing into the room""”",piercing into the room,"[30433, 30455]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""bright gleam""”",bright gleam,"[30472, 30484]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“""pearly light,""”",pearly light,"[31010, 31022]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 864,"“She opened her curtains, and looked out towards the bit of road that lay in view, with fields beyond, outside the entrance-gates. On the road there was a man with a bundle on his back and a woman carrying her baby; in the field she could see figures moving-perhaps the shepherd with his dog. Far off in the bending sky was the pearly light, and she felt the largeness of the world and the manifold wakings of men to labour and endurance. She was part of that involuntary, palpitating life, and could neither”","She opened her curtains, and looked out towards the bit of road that lay in view, with fields beyond, outside the entrance-gates. On the road there was a man with a bundle on his back and a woman carrying her baby; in the field she could see figures moving-perhaps the shepherd with his dog. Far off in the bending sky was the pearly light, and she felt the largeness of the world and the manifold wakings of men to labour and endurance. She was part of that involuntary, palpitating life, and could neither","[30683, 31190]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 865,"“look out on it from her luxurious shelter as a mere spectator, nor hide her eyes in selfish complaining.”","look out on it from her luxurious shelter as a mere spectator, nor hide her eyes in selfish complaining","[31237, 31340]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 865,"“""involuntary, palpitating life""”","involuntary, palpitating life","[31834, 31863]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 865,"“(""the entrance-gates"")”",the entrance-gates,"[32603, 32621]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 865,"“(""the bending sky""),”",the bending sky,"[32643, 32658]",
http://www.jstor.org/stable/2873139,Andres,1988,p. 867,"“""world apart, where the sunshine fell on tall lilies""”","world apart, where the sunshine fell on tall lilies","[39819, 39870]",
Book chapter,Bennett,2009,p. 103,“‘something we must believe in and do’”,,,
Book chapter,Bennett,2009,p. 108,“‘vagrant mind’”,,,
Book chapter,Bennett,2009,p. 108,“‘arrest her wandering thoughts’”,,,
Book chapter,Bennett,2009,p. 108,“‘on each side of her face’”,,,
Book chapter,Bennett,2009,p. 108,“‘Oh dear! Oh dear!’”,,,
Book chapter,Bennett,2009,p. 108,“with her hands falling clasped before her”,,,
Book chapter,Bennett,2009,p. 108,“hinder\[s\] her from unclasping her hands”,,,
Book chapter,Bennett,2009,p. 108,“‘painful story about my parentage’”,,,
Book chapter,Bennett,2009,p. 108,“she unclasped her hands but immediately folded them over each other”,,,
Book chapter,Bennett,2009,p. 108,“‘there was nothing to try for – only things to endure’”,,,
Book chapter,Bennett,2009,p. 108,"“‘I don’t doubt you any longer’, said Dorothea, putting out her hand; a vague fear for him impelling her unutterable affection.”",,,
Book chapter,Bennett,2009,p. 108,"“He took her hand and raised it to his lips with something like a sob. But he stood with his hat and gloves in the other hand, and might have done for the portrait of a Royalist. Still it was difficult to loose the hand, and Dorothea, withdrawing it in a confusion that distressed her, looked and moved away.”",,,
Book chapter,Bennett,2009,p. 109,“‘loose the hand’”,,,
Book chapter,Bennett,2009,p. 109,“without disguise’”,,,
Book chapter,Bennett,2009,p. 109,“‘on the brink of the grave’”,,,
Book chapter,Bennett,2009,p. 109,"“While he was speaking there came a vivid flash of lightning which lit each of them up for the other – and the light seemed to be the terror of a hopeless love. Dorothea darted instantaneously from the window; Will followed her, seizing her hand with a spasmodic movement; and so they stood, with their hands clasped, like two children, looking out on the storm, while the thunder gave a tremendous crack and roll above them, and the rain began to pour down. Then they turned their faces towards each other, with the memory of his last words in them, and they did not loose each other’s hands.”",,,
Book chapter,Bennett,2009,p. 109,“‘with a spasmodic movement’”,,,
Book chapter,Bennett,2009,p. 109,“‘with their hands clasped’”,,,
Book chapter,Bennett,2009,p. 110,“‘inward life’”,,,
Book chapter,Bennett,2009,p. 110,“‘made up of the thoughts he believes other men to have about him’”,,,
Book chapter,Bennett,2009,p. 111,"“‘there is no creature whose inward being is so strong’,”",,,
Book chapter,Bennett,2009,p. 111,“‘that it is not greatly determined by what lies outside it’”,,,
Book chapter,Bennett,2009,p. 125,“‘modes of education which make a woman’s knowledge another name for motley ignorance’”,,,
Book chapter,Bennett,2009,p. 125,"“‘We are all of us born in moral stupidity, taking the world as an udder to feed our supreme selves’”",,,
Book chapter,Bennett,2009,p. 125,"“‘So much subtler is a human mind’,”",,,
Book chapter,Bennett,2009,p. 125,“‘than the outside tissues which makes a sort of blazonry or clock-face for it’”,,,
http://www.jstor.org/stable/3751142,Berenson,1991,p. 73,"“. conceiving with that distinctness which is no longer reflection but feeling-an idea wrought back to the directness of sense, like the solidity of objects-that he","conceiving with that distinctness which is no longer reflection but feeling-an idea wrought back to the directness of sense, like the solidity of objects-that he (the other) had an equivalent centre of self, whence the light and the shadows must always fall with a certain difference","[24065, 24348]",
http://www.jstor.org/stable/462077,Blythe and Wiesenfarth,1983,p. image 2,"“""Yet what miserable men find such things and work at them and sell them”","""Yet what miserable men find such things and work at them and sell them""","[4417, 4487]",
http://www.jstor.org/stable/462077,Blythe and Wiesenfarth,1983,p. image 3,"“her ""beli”","""belief""","[6609, 6615]",
http://www.jstor.org/stable/462077,Blythe and Wiesenfarth,1983,p. image 3,"“that ""by desiring what is perfectly good, even when we don't quite know what it is and cannot do what we would, we are part of the divine power against evil-widening the skirts of light and making the struggle with darkness narrowe”","""by desiring what is perfectly good, even when we don't quite know what it is and cannot do what we would, we are part of the divine power against evil-widening the skirts of light and making the struggle with darkness narrower""","[6623, 6849]",
http://www.jstor.org/stable/462077,Blythe and Wiesenfarth,1983,p. image 3,"“replies, ""That is a beautiful mysticism”","""That is a beautiful mysticism""","[6872, 6901]",
http://www.jstor.org/stable/462077,Blythe and Wiesenfarth,1983,p. image 3,"“terrupts, ""Please not to call it by any name.... You will say it is Persian or something else geographical. It is my life. I have found it out, and cannot part with it”","""Please not to call it by any name.... You will say it is Persian or something else geographical. It is my life. I have found it out, and cannot part with it""","[6939, 7095]",
http://www.jstor.org/stable/23099626,BRANTLINGER,1975,p. 16,"“"" to pierce the obscurity of those minute processes which prepare human misery and joy, those invisible thoroughfares which are the first lurking-places of anguish, mania, and crime, that delicate poise and transition which determine the growth of happy or unhappy consciousness”"," to pierce the obscurity of those minute processes which prepare human misery and joy, those invisible thoroughfares which are the first lurking-places of anguish, mania, and crime, that delicate poise and transition which determine the growth of happy or unhappy consciousness.","[3441, 3721]",
http://www.jstor.org/stable/23099626,BRANTLINGER,1975,p. 16,"“"" a process and an unfolding,""”"," a process and an unfolding,","[3769, 3799]",
http://www.jstor.org/stable/23099626,BRANTLINGER,1975,p. 16,"“ne, ""We are all of us imaginative in some form or other, for images are the brood of desire”","We are all of us imaginative in some form or other, for images are the brood of desire ","[4220, 4309]",
http://www.jstor.org/stable/23099626,BRANTLINGER,1975,p. 17,"“We are all of us born in moral stupidity, taking the world as an udder to feed our supreme selves...All these”"," We are all of us born in moral stupidity, taking the world as an udder to feed our supreme selves...","[5555, 5657]",deletion at the end of the quote
http://www.jstor.org/stable/23099626,BRANTLINGER,1975,p. 30,"“"" raveling and unraveling certain h”", raveling and unraveling certain human lots ,"[40653, 40699]",
http://www.jstor.org/stable/23099626,BRANTLINGER,1975,p. 38,"“es, "" for there is no creature whose inward being is so strong that it is not greatly determined by what lies”", for there is no creature whose inward being is so strong that it is not greatly determined by what lies outside it.,"[60573, 60691]",
Book chapter,Bredesen,2014,p. 100,““Dodo””,,,
Book chapter,Bredesen,2014,p. 100,““throw oƒ that cap. I am sure your dress must make you ill.””,,,
Book chapter,Bredesen,2014,p. 100,““I am so used to the cap—it has become a sort of shell”,,,
Book chapter,Bredesen,2014,p. 100,“I feel rather bare and exposed when it is oƒ.”,,,
Book chapter,Bredesen,2014,p. 100,““shell””,,,
Book chapter,Bredesen,2014,p. 100,"“It was a pretty picture this little lady in white muslin unfastening the widow’s cap from her more majestic sister, and tossing it on to a chair. Just as the coils and braids of darkbrown hair had been set free, Sir James entered the room. He looked at the released head, and said, “Ah!” in a tone of satisfaction. “It was I who did it, James,” said Celia. “Dodo need not make such a slavery of her mourning; she need not wear that cap any more among her friends.””",,,
Book chapter,Bredesen,2014,p. 100,"““Really, Dodo, taking your cap oƒ made you like yourself in more ways than one. You spoke up just as you used to do, when anything was said to displease you””",,,
Book chapter,Bredesen,2014,p. 101,““It all came out of Dodo’s cap”,,,
Book chapter,Bredesen,2014,p. 101,“a woman could not be married in a widow’s cap””,,,
Book chapter,Bredesen,2014,p. 101,"““her face looked just as it did when she first shook hands with him in Rome; for her widow’s cap, fixed in her bonnet, had gone oƒ with it””",,,
Book chapter,Bredesen,2014,p. 101,"““it is really herself whom Will loved,””",,,
Book chapter,Bredesen,2014,p. 101,““heavy weepers””,,,
Book chapter,Bredesen,2014,p. 101,"““There’s a reason in mourning, as I’ve always said; and three folds at the bottom of your skirt and a plain quilling in your bonnet—and if ever anybody looked like an angel, it’s you in net quilling—is what’s consistent for a second year. At least, that’s my thinking,” ended Tantripp, looking anxiously at the fire; “and if anybody was to marry me flattering himself I should wear those hijeous weepers two years for him, he’d be deceived by his own vanity, that’s all.””",,,
Book chapter,Bredesen,2014,p. 101,““willingly imagined her toiling under the fetters of a promise to erect a tomb with his name upon it. Not that Mr.”,,,
Book chapter,Bredesen,2014,p. 102,“Casaubon called the future volumes a tomb; he called them the Key to all Mythologies””,,,
Book chapter,Bredesen,2014,p. 102,““his cold grasp on her life””,,,
Book chapter,Bredesen,2014,p. 102,"““part of that involuntary, palpitating life, and could neither look out on it from her luxurious shelter as a mere spectator, nor hide her eyes in selfish complaining,””",,,
Book chapter,Bredesen,2014,p. 102,““bring me my new dress; and most likely I shall want my new bonnet today””,,,
http://www.jstor.org/stable/437748,Brody,1987,p. 42,"“""torpedo,""”","torpedo,","[982, 990]",
http://www.jstor.org/stable/437748,Brody,1987,p. 42,"“es ""the inward light which is the last refinement of Energy, capable of bathing even the ethereal atoms in its ideally illuminated space""”","the inward light which is the last refinement of Energy, capable of bathing even the ethereal atoms in its ideally illuminated space","[15316, 15448]",
http://www.jstor.org/stable/437748,Brody,1987,p. 42,"“""Watching effects, if only of an electric battery, it is often necessary to change our place and examine a particular mixture or group at some distance from the point where the movement we are interested in is set up. The group I am moving toward is... in the large parlor.. . father, mother, and five of the childre”","Watching effects, if only of an electric battery, it is often necessary to change our place and examine a particular mixture or group at some distance from the point where the movement we are interested in is set up. The group I am moving toward is... in the large parlor.. . father, mother, and five of the children","[1620, 1936]",
http://www.jstor.org/stable/437748,Brody,1987,p. 42,"“""electric battery.""”",electric battery.,"[2340, 2357]",
http://www.jstor.org/stable/437748,Brody,1987,p. 43,"“""He was enamored of that arduous invention which is the very eye of research,""”","He was enamored of that arduous invention which is the very eye of research,","[5007, 5083]",
http://www.jstor.org/stable/437748,Brody,1987,p. 43,"“""in energetic alliance with impartial Nature, standing aloof to invent tests by which to try its own work""”","in energetic alliance with impartial Nature, standing aloof to invent tests by which to try its own work","[5133, 5237]",
http://www.jstor.org/stable/437748,Brody,1987,p. 44,"“""Woman was a problem which since Mr. Brooke's mind felt blank before it, could hardly be less complicated than the revolutions of an irregular solid""”","Woman was a problem which since Mr. Brooke's mind felt blank before it, could hardly be less complicated than the revolutions of an irregular solid","[8861, 9008]",
http://www.jstor.org/stable/437748,Brody,1987,p. 44,"“""went into science a great deal""”",went into science a great deal,"[9173, 9203]",
http://www.jstor.org/stable/437748,Brody,1987,p. 44,"“""pier-glass”",pier-glass,"[18256, 18266]",
http://www.jstor.org/stable/437748,Brody,1987,p. 44,"“""web""”",web,"[39090, 39093]",
http://www.jstor.org/stable/437748,Brody,1987,p. 45,"“""an exclusive optical selection.""”",an exclusive optical selection.,"[13271, 13302]",
http://www.jstor.org/stable/437748,Brody,1987,p. 45,"“alent centre of self"" which”",equivalent centre of self,"[24779, 24804]",
http://www.jstor.org/stable/437748,Brody,1987,p. 45,"“y illuminated"" space”",ideally illuminated,"[15423, 15442]",
http://www.jstor.org/stable/437748,Brody,1987,p. 45,"“imagination that reveals subtle actions inaccessible to any lens"" may”",The imagination that reveals subtle actions inaccessible to any lens,"[15555, 15623]",
