,Locations in A,Locations in B,author,coverdate,disc_name,doi,id,jcode,journal,la,no,numMatches,pages,publisher_name,sp,srcHtml,title,topics,ty,vo,year,Decade,Quoted Words,Locations in A with Wordcounts,Wordcounts,paraIndicesIn20
137,"[[310377, 310904], [386177, 386424], [404792, 405151]]","[[32110, 33165], [35906, 36153], [47672, 48024]]",['John P. McGowan'],['19800901'],"['Language & Literature', 'Humanities']",10.2307/2932968,443d90e9-a7d3-309d-b036-2ee475a0b889,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['2'],6,171-192,['University of California Press'],171,"<cite>Nineteenth-Century Fiction</cite>, Vol. 35, No. 2 (Sep., 1980), pp. 171-192","[""The Turn of George Eliot's Realism""]","['Novels', 'Narratology', 'Antirealism', 'Aristotelian rhetoric', 'Renunciation', 'Nostalgia', 'Mimesis', 'Chaplains', 'Semiotic signs', 'Religious transcendence', 'Solipsism', 'Eyepieces', 'Referents', 'Ad hominem', 'Sympathy', 'Meditation', 'Hunting songs', 'Novelists', 'Fables', 'Antitheses', 'Heroism', 'Otherness', 'Moral weakness', 'Rowing', 'Pathos']",fla,['35'],1980,1980,230,"[[[310377, 310904], 107], [[386177, 386424], 44], [[404792, 405151], 79]]","[107, 44, 79]",[]
4601,"[[415213, 415387]]","[[115562, 115736]]",['J. Hillis Miller'],"['20050101', '20050101']",['Language & Literature'],10.2307/j.ctt13wzvcg.7,667da560-2a76-393b-be97-c18447daa975,,,['eng'],,2,,,,,"['Literature as Conduct: Speech Acts in Henry James', 'The Story of a Kiss:', 'Isabel’s Decisions in The Portrait of a Lady']","['Marriage ceremonies', 'Love', 'Villains', 'Constatives', 'Aestheticism', 'Adultery', 'Catachresis', 'Narcissism', 'Lucidity', 'Preludes', 'Parables', 'Narrators', 'Wrist', 'Apparitions', 'Lipstick', 'Allegory', 'Masterpieces', 'Lacanian philosophy', 'Nieces', 'Sodomy', 'Inspiration', 'Labyrinths', 'Insults', 'Equivocation', 'Omens']",mis,,2005,2000,34,"[[[415213, 415387], 34]]",[34],"[None, None, None, None, None, None, None, None, None, None, 10, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
43,"[[56, 151], [175395, 175571], [191684, 191964], [432172, 432777], [616870, 617479], [617067, 617723], [1057847, 1058336], [1058350, 1058734], [1058859, 1059499], [1327660, 1327746], [1583753, 1584376], [1584646, 1585832], [1628879, 1629005], [1636351, 1636596], [1648950, 1649704], [1787276, 1787346]]","[[7083, 7178], [10233, 10409], [24161, 24439], [25139, 25741], [28518, 29116], [28716, 29359], [31495, 31984], [32024, 32407], [34108, 34745], [35638, 35722], [36456, 37076], [37654, 38835], [42519, 42622], [42951, 43197], [43478, 44225], [63028, 63098]]",['U. C. Knoepflmacher'],"['19650101', '19650101']",['Language & Literature'],10.2307/j.ctt13x1970.6,0e6642fe-d854-39c0-9404-da91f7fda403,,,['eng'],,24,,,,,"['Religious Humanism and the Victorian Novel: George Eliot, Walter Pater and Samuel Butler', 'Middlemarch:', 'The Balance of Progress']","['Pity', 'Will to believe', 'Volition', 'Rationalism', 'Preachers', 'Moral relativism', 'Romantic art', 'Obedience', 'Sentimentality', 'Epicureanism', 'Dogmatism', 'Literary epigraphs', 'Hedonism', 'Cloaks', 'Spiritual love', 'Pragmatism', 'Sympathy', 'Affection', 'Ostracism', 'Evangelicalism', 'Exoneration', 'Egotism', 'Enthusiasm', 'Priestesses', 'Aphorisms']",mis,,1965,1960,1561,"[[[56, 151], 19], [[175395, 175571], 33], [[191684, 191964], 64], [[432172, 432777], 128], [[616870, 617479], 147], [[617067, 617723], 153], [[1057847, 1058336], 109], [[1058350, 1058734], 86], [[1058859, 1059499], 153], [[1327660, 1327746], 18], [[1583753, 1584376], 131], [[1584646, 1585832], 252], [[1628879, 1629005], 28], [[1636351, 1636596], 53], [[1648950, 1649704], 173], [[1787276, 1787346], 14]]","[19, 33, 64, 128, 147, 153, 109, 86, 153, 18, 131, 252, 28, 53, 173, 14]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 33, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
97,"[[490324, 490390], [513891, 514153], [514696, 515083], [1369273, 1369483], [1370930, 1371184], [1376565, 1377082], [1787696, 1787967]]","[[8092, 8157], [9348, 9609], [9852, 10238], [17959, 18169], [19752, 20007], [20382, 20883], [22494, 22765]]",['NICOLE M. COONRADT'],['20120901'],"['Language & Literature', 'Humanities']",10.2307/42827900,8a9789c8-ad8c-387a-88ef-37aab78b949f,['georelioghlstud'],George Eliot - George Henry Lewes Studies,['eng'],['62/63'],10,16-33,['Penn State University Press'],16,"<cite>George Eliot - George Henry Lewes Studies</cite>, No. 62/63 (September 2012), pp. 16-33","['WRITING MARY GARTH: LOCATING MIDDLE GROUND AMONG FEMALE CHARACTERS IN GEORGE ELIOT\'S ""MIDDLEMARCH""']","['Women', 'Omniscient narrators', 'Ugliness', 'Pity', 'Rational egoism', 'Irony', 'Flattery', 'Hypocrisy', 'Pseudonyms', 'Humor', 'Novella', 'Snobbery', 'Vocation', 'Upbringing', 'Religious transcendence', 'Authorship attribution', 'Maids', 'Turnips', 'Laments', 'Ducklings', 'Physiognomy', 'Housewives', 'Prudence', 'Plainness', 'Semen']",fla,,2012,2010,425,"[[[490324, 490390], 13], [[513891, 514153], 52], [[514696, 515083], 80], [[1369273, 1369483], 41], [[1370930, 1371184], 49], [[1376565, 1377082], 129], [[1787696, 1787967], 61]]","[13, 52, 80, 41, 49, 129, 61]",[]
331,"[[5809, 6218], [21014, 21195], [116900, 117594], [298588, 299025], [299047, 299536], [299814, 299996], [468689, 468825], [470798, 470977], [794848, 795118], [1528336, 1528471], [1548064, 1548543], [1633059, 1633208], [1634415, 1634645], [1645380, 1645466], [1710354, 1710422], [1720190, 1720330]]","[[1724, 2133], [16957, 17138], [47081, 47774], [50532, 50967], [51020, 65039], [65137, 65318], [66566, 66701], [66715, 66894], [71895, 72164], [89479, 89613], [93147, 93652], [98674, 98821], [99482, 99708], [100743, 100828], [108559, 108627], [126775, 126915]]",['PATRICIA McKEE'],"['19860101', '19860101']",['Language & Literature'],10.2307/j.ctt7zvvkq.7,8213aec9-6bc8-31ab-a42d-2269cc1af4ad,,,['eng'],,19,,,,,"['Heroic Commitment in Richardson, Eliot, and James', 'POWER AS PARTIALITY IN MIDDLEMARCH']","['Impartiality', 'Pity', 'Love', 'Alterity', 'Martyrdom', 'Omniscient narrators', 'Vocation', 'Narcissism', 'Blindness', 'Integration clause', 'Incommensurability of scientific theories', 'Alienation', 'Neckties', 'Procyclical fiscal policy', 'Reification', 'Women', 'Gossip', 'Emeralds', 'Mime', 'Suchness', 'Miniature paintings', 'Habitat destruction', 'Omnipotence', 'Dimity', 'Academic accomplishments']",mis,,1986,1980,893,"[[[5809, 6218], 83], [[21014, 21195], 37], [[116900, 117594], 139], [[298588, 299025], 89], [[299047, 299536], 107], [[299814, 299996], 37], [[468689, 468825], 28], [[470798, 470977], 40], [[794848, 795118], 58], [[1528336, 1528471], 30], [[1548064, 1548543], 99], [[1633059, 1633208], 34], [[1634415, 1634645], 53], [[1645380, 1645466], 19], [[1710354, 1710422], 14], [[1720190, 1720330], 26]]","[83, 37, 139, 89, 107, 37, 28, 40, 58, 30, 99, 34, 53, 19, 14, 26]",[]
4041,"[[118707, 118893], [119049, 119199]]","[[6308, 6493], [6574, 6724]]",['Simon Eliot'],['20010901'],"['Language & Literature', 'Humanities']",10.1525/ncl.2001.56.2.160,0431ff5a-4e5a-3f5d-8ae5-03ed51769b68,['ninecentlite'],Nineteenth-Century Literature,['en'],['2'],3,160-197,['University of California Press'],160,"<cite>Nineteenth-Century Literature</cite>, Vol. 56, No. 2 (September 2001), pp. 160-197","['""Never Mind the Value, What about the Price?""; Or, How Much Did <em>Marmion</em> Cost St. John Rivers?']","['Printing', 'Luxury goods', 'Lighting', 'Sconces', 'Featherbedding', 'Tallow', 'Nieces', 'Ultimatum game', 'Penance', 'Alliteration', 'Mutton', 'Gutters', 'Tinder boxes', 'Preludes', 'Publishing industry', 'Annuities', 'Kerosene lamps', 'Casting', 'Idleness', 'Cousins', 'Comas', 'Barometers', 'Microforms', 'Uncles', 'Handguns']",fla,['56'],2001,2000,69,"[[[118707, 118893], 35], [[119049, 119199], 34]]","[35, 34]",[]
51,"[[79529, 79677], [345201, 345489], [406099, 406319], [681918, 682020], [696693, 696805], [698074, 698159], [1381714, 1382015]]","[[8861, 9008], [15159, 15448], [25643, 25862], [26135, 26219], [27900, 28012], [28018, 28102], [28885, 29096]]",['Selma B. Brody'],['19870801'],"['Language & Literature', 'Humanities']",10.2307/437748,f24920b2-ecb5-39a7-a055-90c2d5c1513d,['modernphilology'],Modern Philology,['eng'],['1'],8,42-53,['University of Chicago Press'],42,"<cite>Modern Philology</cite>, Vol. 85, No. 1 (Aug., 1987), pp. 42-53","['Physics in ""Middlemarch"": Gas Molecules and Ethereal Atoms']","['Neutrinos', 'Pity', 'Materialism', 'Phrenology', 'Gossip', 'Geometry', 'Billiards', 'Psychological egoism', 'Blackmail', 'Levity', 'Personification', 'Parabolas', 'Mnemonics', 'Nothingness', 'Literary epigraphs', 'Rainbows', 'Minor planets', 'Pseudoscience', 'Parables', 'Organicism', 'Daydreams', 'Straw', 'Bullets', 'Inventors', 'Idealization']",fla,['85'],1987,1980,239,"[[[79529, 79677], 30], [[345201, 345489], 52], [[406099, 406319], 38], [[681918, 682020], 22], [[696693, 696805], 25], [[698074, 698159], 24], [[1381714, 1382015], 48]]","[30, 52, 38, 22, 25, 24, 48]",[]
2544,"[[1709051, 1709233]]","[[39229, 39407]]","['Suzanne Raitt', 'Claire Buck']",['20101001'],"['Language & Literature', ""Feminist & Women's Studies"", 'Humanities']",10.2307/27919123,d99491c7-6475-37fd-aa9d-59659beb2b3c,['feministstudies'],Feminist Studies,['eng'],['3'],2,598-617,"['Feminist Studies, Inc.']",598,"<cite>Feminist Studies</cite>, Vol. 36, No. 3, SEX AND SURVEILLANCE (Fall 2010), pp. 598-617",['Friendship and Lesbian Studies'],"['Heterosexuality', 'Women', 'Female homosexuality', 'Incest', 'Envy', 'Love', 'Utopianism', 'Sexology', 'Wicker baskets', 'Homosexuality', 'Fan cultures', 'Dolls', 'Blessedness', 'Inquests', 'Libel', 'Adultery', 'Storytelling', 'Visibility', 'Bath towels', 'Masculinity', 'Friendship', 'Hyperbole', 'Separatism', 'Sculptors', 'Shipwrecks']",brv,['36'],2010,2010,42,"[[[1709051, 1709233], 42]]",[42],[]
180,"[[127877, 127994], [419624, 420202]]","[[16587, 16704], [17651, 18231]]",['George Levine'],['19630901'],"['Language & Literature', 'Humanities']",10.2307/2872038,c98fdee0-fbcd-3f85-a8e5-79e409dc1d91,['elh'],ELH,['eng'],['3'],3,244-257,['Johns Hopkins University Press'],244,"<cite>ELH</cite>, Vol. 30, No. 3 (Sep., 1963), pp. 244-257","['Isabel, Gwendolen, and Dorothea']","['Novels', 'Pity', 'Irony', 'Ghost stories', 'Egotism', 'Egoism', 'Mindfulness', 'Sympathy', 'Melting points', 'Game animals', 'Women', 'Narrative plot', 'Pain', 'Visual fixation', 'Selfishness', 'Cottages', 'Masterpieces', 'Renunciation', 'Cousins', 'Destiny', 'Closets', 'Rowing', 'Textual collocation', 'Ambivalence', 'Concept of mind']",fla,['30'],1963,1960,138,"[[[127877, 127994], 23], [[419624, 420202], 115]]","[23, 115]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 16, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
3107,"[[290950, 291020]]","[[25831, 25903]]",['Judith Wilt'],['19810301'],"['Language & Literature', 'Humanities']",10.2307/3044620,a4c81566-1d1c-3bd7-88a9-5c101a7dc452,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['4'],2,459-486,['University of California Press'],459,"<cite>Nineteenth-Century Fiction</cite>, Vol. 35, No. 4 (Mar., 1981), pp. 459-486",['Steamboat Surfacing: Scott and the English Novelists'],"['Love', 'Fear', 'Heroes', 'Heroism', 'Sadness', 'Vanity', 'Despair', 'Elegies', 'Novels', 'Sonnets', 'Anger', 'Solitude', 'Warps', 'Pirates', 'Lighthouses', 'Psychodrama', 'Pulpits', 'Prudence', 'Irony', 'Hypocrisy', 'Marriage ceremonies', 'Dressmaking', 'Blessings', 'Narrators', 'Authoritarianism']",fla,['35'],1981,1980,13,"[[[290950, 291020], 13]]",[13],[]
4025,"[[242360, 242909]]","[[81986, 82529]]",['Andrew Travers'],['19921201'],"['Sociology', 'Social Sciences']",10.2307/591341,187a59b8-d712-38d6-93db-90e36134e770,['britjsoci'],The British Journal of Sociology,['eng'],['4'],3,601-637,"['Wiley', 'London School of Economics and Political Science', 'London School of Economics']",601,"<cite>The British Journal of Sociology</cite>, Vol. 43, No. 4 (Dec., 1992), pp. 601-637",['Strangers to Themselves: How Interactants Are other than They Are'],"['Interactionism', 'Paranoid disorders', 'Shame', 'Ressentiment', 'Estrangement', 'Humor', 'Courtrooms', 'Oratory', 'Charisma', 'Etiquette', 'Whips', 'Malice', 'Anomia', 'Phenomenology', 'Holistic medicine', 'Carpets', 'Alienation', 'Tears', 'Whistles', 'Insults', 'Seashores', 'Shamanism', 'Waiters', 'Idleness', 'Parody']",fla,['43'],1992,1990,140,"[[[242360, 242909], 140]]",[140],[]
4038,"[[411970, 412108], [560277, 560839]]","[[7132, 7270], [8616, 9252]]",['ALEXANDER NEMEROV'],"['20100101', '20100101']",['Language & Literature'],10.1525/j.ctt1pp5nj.10,8eeb4285-9ed3-3340-863a-411d5ac47c3b,,,['eng'],,4,,,,,"['Acting in the Night', 'Macbeth and the Places of the Civil War', 'Sound and Fury:', 'Nature in Virginia']","['Fingers', 'Nothingness', 'Cedars', 'Twilight', 'Sublimity', 'Exorcism', 'Preachers', 'Cemeteries', 'Rill erosion', 'Daguerreotypes', 'Wilderness', 'Fear', 'Crop gleaning', 'Machine guns', 'Incantations', 'Natural bridges', 'Witchcraft', 'Tree trunks', 'Auditoriums', 'Caskets', 'Ivy', 'Animism', 'Visibility', 'Recitations', 'Battlefields']",mis,,2010,2010,138,"[[[411970, 412108], 31], [[560277, 560839], 107]]","[31, 107]","[None, None, None, None, None, None, 6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
